"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","OpcUa","133","UA Secure Conversation Message: PublishResponse"
"2","0.000039","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=1 Ack=90 Win=197 Len=0"
"3","0.014748","127.0.0.1","127.0.0.1","OpcUa","142","UA Secure Conversation Message: PublishRequest"
"4","0.014885","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=90 Ack=99 Win=215 Len=0"
"5","0.233582","127.0.0.1","127.0.0.1","OpcUa","330","UA Secure Conversation Message: PublishResponse"
"6","0.233652","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=99 Ack=376 Win=196 Len=0"
"7","0.247483","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"8","0.247633","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=376 Ack=205 Win=214 Len=0"
"9","0.371951","127.0.0.1","127.0.0.1","OpcUa","208","UA Secure Conversation Message: ReadRequest"
"10","0.372055","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=376 Ack=369 Win=214 Len=0"
"11","0.374305","127.0.0.1","127.0.0.1","OpcUa","143","UA Secure Conversation Message: ReadResponse"
"12","0.374387","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=369 Ack=475 Win=196 Len=0"
"13","1.245563","127.0.0.1","127.0.0.1","OpcUa","300","UA Secure Conversation Message: PublishResponse"
"14","1.245685","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=369 Ack=731 Win=195 Len=0"
"15","1.259238","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"16","1.259336","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=731 Ack=475 Win=213 Len=0"
"17","2.241776","127.0.0.1","127.0.0.1","OpcUa","296","UA Secure Conversation Message: PublishResponse"
"18","2.241829","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=475 Ack=983 Win=194 Len=0"
"19","2.256074","127.0.0.1","127.0.0.1","OpcUa","150","UA Secure Conversation Message: PublishRequest"
"20","2.256154","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=983 Ack=581 Win=213 Len=0"
