"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","53270  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"2","0.000078","127.0.0.1","127.0.0.1","TCP","56","53530  >  53270 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"3","0.000123","127.0.0.1","127.0.0.1","TCP","44","53270  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"4","0.000391","127.0.0.1","127.0.0.1","OpcUa","128","Hello message"
"5","0.000422","127.0.0.1","127.0.0.1","TCP","44","53530  >  53270 [ACK] Seq=1 Ack=85 Win=65280 Len=0"
"6","0.003236","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"7","0.003281","127.0.0.1","127.0.0.1","TCP","44","53270  >  53530 [ACK] Seq=85 Ack=29 Win=65280 Len=0"
"8","0.003440","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"9","0.003489","127.0.0.1","127.0.0.1","TCP","44","53530  >  53270 [ACK] Seq=29 Ack=218 Win=65280 Len=0"
"10","0.004850","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"11","0.004899","127.0.0.1","127.0.0.1","TCP","44","53270  >  53530 [ACK] Seq=218 Ack=164 Win=65280 Len=0"
"12","0.005120","127.0.0.1","127.0.0.1","OpcUa","165","UA Secure Conversation Message: GetEndpointsRequest"
"13","0.005166","127.0.0.1","127.0.0.1","TCP","44","53530  >  53270 [ACK] Seq=164 Ack=339 Win=65024 Len=0"
"14","0.006650","127.0.0.1","127.0.0.1","OpcUa","20188","UA Secure Conversation Message: GetEndpointsResponse"
"15","0.006761","127.0.0.1","127.0.0.1","TCP","44","53270  >  53530 [ACK] Seq=339 Ack=20308 Win=45056 Len=0"
"16","0.007053","127.0.0.1","127.0.0.1","OpcUa","101","CloseSecureChannel message: CloseSecureChannelRequest"
"17","0.007089","127.0.0.1","127.0.0.1","TCP","44","53530  >  53270 [ACK] Seq=20308 Ack=396 Win=65024 Len=0"
"18","0.007120","127.0.0.1","127.0.0.1","TCP","44","53270  >  53530 [FIN, ACK] Seq=396 Ack=20308 Win=45056 Len=0"
"19","0.007139","127.0.0.1","127.0.0.1","TCP","44","53530  >  53270 [ACK] Seq=20308 Ack=397 Win=65024 Len=0"
"20","0.008135","127.0.0.1","127.0.0.1","TCP","44","53530  >  53270 [FIN, ACK] Seq=20308 Ack=397 Win=65024 Len=0"
"21","0.008196","127.0.0.1","127.0.0.1","TCP","44","53270  >  53530 [ACK] Seq=397 Ack=20309 Win=45056 Len=0"
"22","0.071812","127.0.0.1","127.0.0.1","TCP","56","53271  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"23","0.071890","127.0.0.1","127.0.0.1","TCP","56","53530  >  53271 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"24","0.071926","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"25","0.072258","127.0.0.1","127.0.0.1","OpcUa","128","Hello message"
"26","0.072304","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=1 Ack=85 Win=65280 Len=0"
"27","0.073206","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"28","0.073244","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=85 Ack=29 Win=65280 Len=0"
"29","0.073326","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"30","0.073350","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=29 Ack=218 Win=65280 Len=0"
"31","0.073853","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"32","0.073886","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=218 Ack=164 Win=65280 Len=0"
"33","0.074156","127.0.0.1","127.0.0.1","OpcUa","423","UA Secure Conversation Message: CreateSessionRequest"
"34","0.074194","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=164 Ack=597 Win=64768 Len=0"
"35","0.086646","127.0.0.1","127.0.0.1","OpcUa","21331","UA Secure Conversation Message: CreateSessionResponse"
"36","0.086801","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=597 Ack=21451 Win=44032 Len=0"
"37","0.087768","127.0.0.1","127.0.0.1","OpcUa","193","UA Secure Conversation Message: ActivateSessionRequest"
"38","0.087812","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=21451 Ack=746 Win=64768 Len=0"
"39","0.090544","127.0.0.1","127.0.0.1","OpcUa","140","UA Secure Conversation Message: ActivateSessionResponse"
"40","0.090598","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=746 Ack=21547 Win=43776 Len=0"
"41","0.090772","127.0.0.1","127.0.0.1","OpcUa","190","UA Secure Conversation Message: ReadRequest"
"42","0.090812","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=21547 Ack=892 Win=64512 Len=0"
"43","0.092314","127.0.0.1","127.0.0.1","OpcUa","116","UA Secure Conversation Message: ReadResponse"
"44","0.092371","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=892 Ack=21619 Win=43776 Len=0"
"45","0.092406","127.0.0.1","127.0.0.1","OpcUa","496","UA Secure Conversation Message: ReadRequest"
"46","0.092428","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=21619 Ack=1344 Win=64000 Len=0"
"47","0.094906","127.0.0.1","127.0.0.1","OpcUa","565","UA Secure Conversation Message: ReadResponse"
"48","0.094966","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=1344 Ack=22140 Win=43264 Len=0"
"49","0.095468","127.0.0.1","127.0.0.1","OpcUa","172","UA Secure Conversation Message: ReadRequest"
"50","0.095521","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=22140 Ack=1472 Win=64000 Len=0"
"51","0.097417","127.0.0.1","127.0.0.1","OpcUa","107","UA Secure Conversation Message: ReadResponse"
"52","0.097464","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=1472 Ack=22203 Win=43264 Len=0"
"53","0.097677","127.0.0.1","127.0.0.1","OpcUa","160","UA Secure Conversation Message: CreateSubscriptionRequest"
"54","0.097713","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=22203 Ack=1588 Win=63744 Len=0"
"55","0.102590","127.0.0.1","127.0.0.1","OpcUa","116","UA Secure Conversation Message: CreateSubscriptionResponse"
"56","0.102653","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=1588 Ack=22275 Win=43008 Len=0"
"57","0.102897","127.0.0.1","127.0.0.1","OpcUa","320","UA Secure Conversation Message: CreateMonitoredItemsRequest"
"58","0.102931","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=22275 Ack=1864 Win=63488 Len=0"
"59","0.105764","127.0.0.1","127.0.0.1","OpcUa","182","UA Secure Conversation Message: CreateMonitoredItemsResponse"
"60","0.105810","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=1864 Ack=22413 Win=43008 Len=0"
"61","0.107176","127.0.0.1","127.0.0.1","OpcUa","177","UA Secure Conversation Message: BrowseRequest"
"62","0.107233","127.0.0.1","127.0.0.1","TCP","44","53530  >  53271 [ACK] Seq=22413 Ack=1997 Win=63488 Len=0"
"63","0.109608","127.0.0.1","127.0.0.1","OpcUa","240","UA Secure Conversation Message: BrowseResponse"
"64","0.109668","127.0.0.1","127.0.0.1","TCP","44","53271  >  53530 [ACK] Seq=1997 Ack=22609 Win=42752 Len=0"
"65","0.110159","127.0.0.1","127.0.0.1","OpcUa","314","UA Secure Conversation Message: ReadRequest"
