"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"2","0.042177","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"3","0.046233","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"4","0.046636","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"5","0.047718","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"6","0.047962","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"7","0.048950","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"8","0.049202","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"9","2.050503","::1","::1","TLSv1.2","89","Application Data"
"10","2.050606","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=1 Ack=26 Win=227 Len=0"
"11","2.051790","::1","::1","TLSv1.2","93","Application Data"
"12","2.051867","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=26 Ack=30 Win=195 Len=0"
"13","15.007359","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"14","15.051638","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"15","15.055054","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"16","15.055415","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"17","15.056781","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"18","15.057089","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"19","15.058472","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"20","15.058756","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"21","27.067690","::1","::1","TLSv1.2","89","Application Data"
"22","27.067771","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=30 Ack=51 Win=227 Len=0"
"23","27.068588","::1","::1","TLSv1.2","93","Application Data"
"24","27.068669","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=51 Ack=59 Win=195 Len=0"
"25","29.620215","127.0.0.1","127.0.0.1","TCP","56","52662  >  52661 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"26","29.620449","127.0.0.1","127.0.0.1","TCP","56","52661  >  52662 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"27","29.620529","127.0.0.1","127.0.0.1","TCP","44","52662  >  52661 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"28","29.621081","127.0.0.1","127.0.0.1","TCP","53","52662  >  52661 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=9"
"29","29.621116","127.0.0.1","127.0.0.1","TCP","44","52661  >  52662 [ACK] Seq=1 Ack=10 Win=65280 Len=0"
"30","29.714420","127.0.0.1","127.0.0.1","TCP","45","52661  >  52662 [PSH, ACK] Seq=1 Ack=10 Win=65280 Len=1"
"31","29.714493","127.0.0.1","127.0.0.1","TCP","44","52662  >  52661 [ACK] Seq=10 Ack=2 Win=65280 Len=0"
"32","29.714634","127.0.0.1","127.0.0.1","TCP","44","52661  >  52662 [FIN, ACK] Seq=2 Ack=10 Win=65280 Len=0"
