"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"2","0.052534","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"3","0.056806","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"4","0.057592","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"5","0.059141","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"6","0.059631","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"7","0.061145","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"8","0.061647","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"9","1.634769","::1","::1","TLSv1.2","89","Application Data"
"10","1.634868","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=1 Ack=26 Win=220 Len=0"
"11","1.636033","::1","::1","TLSv1.2","93","Application Data"
"12","1.636137","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=26 Ack=30 Win=187 Len=0"
"13","15.011298","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"14","15.062168","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"15","15.067030","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"16","15.067365","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"17","15.068752","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"18","15.069174","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"19","15.070747","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"20","15.071126","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"21","26.638182","::1","::1","TLSv1.2","89","Application Data"
"22","26.638248","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=30 Ack=51 Win=220 Len=0"
"23","26.639130","::1","::1","TLSv1.2","93","Application Data"
"24","26.639199","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=51 Ack=59 Win=187 Len=0"
"25","30.016399","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"26","30.056943","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"27","30.061284","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"28","30.061624","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"29","30.063199","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"30","30.063545","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"31","30.064923","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"32","30.065356","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"33","45.022152","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"34","45.065040","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"35","45.069072","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"36","45.069499","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"37","45.070814","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"38","45.071177","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"39","45.072550","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"40","45.072867","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"41","51.643359","::1","::1","TLSv1.2","89","Application Data"
"42","51.643437","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=59 Ack=76 Win=220 Len=0"
"43","51.644792","::1","::1","TLSv1.2","93","Application Data"
"44","51.644888","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=76 Ack=88 Win=187 Len=0"
