"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"2","0.046864","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"3","0.050699","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"4","0.051020","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"5","0.052070","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"6","0.052347","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"7","0.053370","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"8","0.053709","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"9","11.564981","::1","::1","TLSv1.2","89","Application Data"
"10","11.565082","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=1 Ack=26 Win=219 Len=0"
"11","11.566282","::1","::1","TLSv1.2","93","Application Data"
"12","11.566370","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=26 Ack=30 Win=186 Len=0"
"13","15.011238","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"14","15.058989","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"15","15.063240","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"16","15.063536","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"17","15.065011","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"18","15.065415","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"19","15.066547","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"20","15.066845","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"21","30.015815","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"22","30.066418","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"23","30.071856","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"24","30.072200","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"25","30.073749","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"26","30.074083","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"27","30.075456","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"28","30.075888","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"29","36.581385","::1","::1","TLSv1.2","89","Application Data"
"30","36.581475","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=30 Ack=51 Win=219 Len=0"
"31","36.582626","::1","::1","TLSv1.2","93","Application Data"
"32","36.582721","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=51 Ack=59 Win=186 Len=0"
"33","43.702638","127.0.0.1","127.0.0.1","TCP","56","49365  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"34","43.702800","127.0.0.1","127.0.0.1","TCP","56","53530  >  49365 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"35","43.702891","127.0.0.1","127.0.0.1","TCP","44","49365  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"36","43.703336","127.0.0.1","127.0.0.1","OpcUa","128","Hello message"
"37","43.703374","127.0.0.1","127.0.0.1","TCP","44","53530  >  49365 [ACK] Seq=1 Ack=85 Win=65280 Len=0"
"38","43.709568","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"39","43.709668","127.0.0.1","127.0.0.1","TCP","44","49365  >  53530 [ACK] Seq=85 Ack=29 Win=65280 Len=0"
"40","43.709845","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"41","43.709907","127.0.0.1","127.0.0.1","TCP","44","53530  >  49365 [ACK] Seq=29 Ack=218 Win=65280 Len=0"
"42","43.711443","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"43","43.711528","127.0.0.1","127.0.0.1","TCP","44","49365  >  53530 [ACK] Seq=218 Ack=164 Win=65280 Len=0"
"44","43.711991","127.0.0.1","127.0.0.1","OpcUa","165","UA Secure Conversation Message: GetEndpointsRequest"
"45","43.712082","127.0.0.1","127.0.0.1","TCP","44","53530  >  49365 [ACK] Seq=164 Ack=339 Win=65024 Len=0"
"46","43.714784","127.0.0.1","127.0.0.1","OpcUa","20188","UA Secure Conversation Message: GetEndpointsResponse"
"47","43.714956","127.0.0.1","127.0.0.1","TCP","44","49365  >  53530 [ACK] Seq=339 Ack=20308 Win=45056 Len=0"
"48","43.715418","127.0.0.1","127.0.0.1","OpcUa","101","CloseSecureChannel message: CloseSecureChannelRequest"
"49","43.715489","127.0.0.1","127.0.0.1","TCP","44","53530  >  49365 [ACK] Seq=20308 Ack=396 Win=65024 Len=0"
"50","43.715546","127.0.0.1","127.0.0.1","TCP","44","49365  >  53530 [FIN, ACK] Seq=396 Ack=20308 Win=45056 Len=0"
"51","43.715576","127.0.0.1","127.0.0.1","TCP","44","53530  >  49365 [ACK] Seq=20308 Ack=397 Win=65024 Len=0"
"52","43.718412","127.0.0.1","127.0.0.1","TCP","44","53530  >  49365 [FIN, ACK] Seq=20308 Ack=397 Win=65024 Len=0"
"53","43.718522","127.0.0.1","127.0.0.1","TCP","44","49365  >  53530 [ACK] Seq=397 Ack=20309 Win=45056 Len=0"
"54","43.901463","127.0.0.1","127.0.0.1","TCP","56","49366  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"55","43.901645","127.0.0.1","127.0.0.1","TCP","56","53530  >  49366 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"56","43.901815","127.0.0.1","127.0.0.1","TCP","44","49366  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"57","43.902318","127.0.0.1","127.0.0.1","OpcUa","128","Hello message"
"58","43.902385","127.0.0.1","127.0.0.1","TCP","44","53530  >  49366 [ACK] Seq=1 Ack=85 Win=65280 Len=0"
"59","43.905286","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"60","43.905386","127.0.0.1","127.0.0.1","TCP","44","49366  >  53530 [ACK] Seq=85 Ack=29 Win=65280 Len=0"
"61","43.905560","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"62","43.905698","127.0.0.1","127.0.0.1","TCP","44","53530  >  49366 [ACK] Seq=29 Ack=218 Win=65280 Len=0"
"63","43.907600","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"64","43.907728","127.0.0.1","127.0.0.1","TCP","44","49366  >  53530 [ACK] Seq=218 Ack=164 Win=65280 Len=0"
"65","43.908080","127.0.0.1","127.0.0.1","OpcUa","423","UA Secure Conversation Message: CreateSessionRequest"
"66","43.908167","127.0.0.1","127.0.0.1","TCP","44","53530  >  49366 [ACK] Seq=164 Ack=597 Win=64768 Len=0"
