"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"2","0.036145","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"3","0.039908","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"4","0.040251","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"5","0.041312","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"6","0.041575","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"7","0.042378","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"8","0.042628","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"9","11.505569","::1","::1","TLSv1.2","89","Application Data"
"10","11.505691","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=1 Ack=26 Win=218 Len=0"
"11","11.509299","::1","::1","TLSv1.2","93","Application Data"
"12","11.509387","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=26 Ack=30 Win=185 Len=0"
"13","15.011799","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"14","15.062270","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"15","15.066776","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"16","15.067163","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"17","15.068803","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"18","15.070199","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"19","15.072046","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"20","15.072442","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"21","30.018412","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"22","30.064000","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"23","30.067685","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"24","30.068059","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"25","30.068966","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"26","30.069202","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"27","30.070150","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"28","30.070442","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"29","36.019039","127.0.0.1","127.0.0.1","TCP","56","59595  >  59594 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"30","36.019236","127.0.0.1","127.0.0.1","TCP","56","59594  >  59595 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"31","36.019320","127.0.0.1","127.0.0.1","TCP","44","59595  >  59594 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"32","36.116709","127.0.0.1","127.0.0.1","TCP","45","59595  >  59594 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=1"
"33","36.116789","127.0.0.1","127.0.0.1","TCP","44","59594  >  59595 [ACK] Seq=1 Ack=2 Win=65280 Len=0"
"34","36.117637","::1","::1","TCP","76","59596  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"35","36.117804","::1","::1","TCP","76","53530  >  59596 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"36","36.117885","::1","::1","TCP","64","59596  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"37","36.119031","::1","::1","OpcUa","144","Hello message"
