"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"2","0.044955","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"3","0.049067","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"4","0.049349","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"5","0.050422","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"6","0.050676","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"7","0.051676","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"8","0.051974","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"9","1.474793","::1","::1","TLSv1.2","89","Application Data"
"10","1.474874","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=1 Ack=26 Win=216 Len=0"
"11","1.477908","::1","::1","TLSv1.2","93","Application Data"
"12","1.477989","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=26 Ack=30 Win=183 Len=0"
"13","15.007489","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"14","15.039188","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"15","15.042716","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"16","15.043002","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"17","15.044066","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"18","15.044348","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"19","15.045405","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"20","15.045646","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"21","16.929158","192.168.58.177","192.168.58.255","BROWSER","233","Host Announcement ADMINISTRATOR, Workstation, Server, Print Queue Server, NT Workstation"
"22","16.929863","192.168.56.1","192.168.56.255","BROWSER","233","Host Announcement ADMINISTRATOR, Workstation, Server, Print Queue Server, NT Workstation"
"23","18.375567","127.0.0.1","127.0.0.1","TCP","56","56728  >  53530 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"24","18.375771","127.0.0.1","127.0.0.1","TCP","56","53530  >  56728 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"25","18.375953","127.0.0.1","127.0.0.1","TCP","44","56728  >  53530 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"26","18.376522","127.0.0.1","127.0.0.1","OpcUa","128","Hello message"
"27","18.376566","127.0.0.1","127.0.0.1","TCP","44","53530  >  56728 [ACK] Seq=1 Ack=85 Win=65280 Len=0"
"28","18.518956","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"29","18.519027","127.0.0.1","127.0.0.1","TCP","44","56728  >  53530 [ACK] Seq=85 Ack=29 Win=65280 Len=0"
"30","18.519229","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"31","18.519297","127.0.0.1","127.0.0.1","TCP","44","53530  >  56728 [ACK] Seq=29 Ack=218 Win=65280 Len=0"
"32","18.570511","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"33","18.570596","127.0.0.1","127.0.0.1","TCP","44","56728  >  53530 [ACK] Seq=218 Ack=164 Win=65280 Len=0"
