"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","::1","::1","TLSv1.2","89","Application Data"
"2","0.000078600","::1","::1","TCP","64","64964  >  8900 [ACK] Seq=1 Ack=26 Win=215 Len=0"
"3","0.001031600","::1","::1","TLSv1.2","93","Application Data"
"4","0.001101600","::1","::1","TCP","64","8900  >  64964 [ACK] Seq=26 Ack=30 Win=182 Len=0"
"5","8.537238100","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"6","8.592610400","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"7","8.597416400","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"8","8.597904500","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"9","8.599428400","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"10","8.599746300","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"11","8.601222700","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"12","8.601567100","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"13","23.551988600","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"14","23.604248900","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"15","23.608655900","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"16","23.609001700","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"17","23.610966000","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"18","23.611338900","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"19","23.612875000","127.0.0.1","127.0.0.1","UDP","1464","54217  >  5093 Len=1432"
"20","23.613221200","127.0.0.1","127.0.0.1","UDP","1464","5093  >  54217 Len=1432"
"21","24.507541700","127.0.0.1","127.0.0.1","TCP","56","61905  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"22","24.507716900","127.0.0.1","127.0.0.1","TCP","56","4840  >  61905 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=2 SACK_PERM"
"23","24.507811000","127.0.0.1","127.0.0.1","TCP","44","61905  >  4840 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"24","24.508439900","127.0.0.1","127.0.0.1","OpcUa","100","Hello message"
"25","24.508510500","127.0.0.1","127.0.0.1","TCP","44","4840  >  61905 [ACK] Seq=1 Ack=57 Win=65480 Len=0"
"26","24.508739500","127.0.0.1","127.0.0.1","OpcUa","72","Acknowledge message"
"27","24.508805400","127.0.0.1","127.0.0.1","TCP","44","61905  >  4840 [ACK] Seq=57 Ack=29 Win=65280 Len=0"
"28","24.509171100","127.0.0.1","127.0.0.1","OpcUa","177","OpenSecureChannel message"
"29","24.509265500","127.0.0.1","127.0.0.1","TCP","44","4840  >  61905 [ACK] Seq=29 Ack=190 Win=65346 Len=0"
"30","24.509491700","127.0.0.1","127.0.0.1","OpcUa","179","OpenSecureChannel message"
"31","24.509542900","127.0.0.1","127.0.0.1","TCP","44","61905  >  4840 [ACK] Seq=190 Ack=164 Win=65280 Len=0"
"32","24.509852700","127.0.0.1","127.0.0.1","OpcUa","137","UA Secure Conversation Message: FindServersRequest"
"33","24.509909800","127.0.0.1","127.0.0.1","TCP","44","4840  >  61905 [ACK] Seq=164 Ack=283 Win=65254 Len=0"
"34","24.511666500","127.0.0.1","127.0.0.1","OpcUa","278","UA Secure Conversation Message: FindServersResponse"
